name,price,image_URL
"Nua Sanitary Pads | 12 Heavy Flow, 20 Medium Flow , 18 Light Flow | 50 Pads",₹899,https://cdn01.pharmeasy.in/dam/products_otc/D06039/nua-sanitary-pads-12-heavy-flow-pads-20-medium-flow-pads-and-18-light-flow-pads-2-1704462010.jpg?dim=700x0&dpr=1&q=100
Wanish Tube Of 50gm Cream,₹306.13,https://cdn01.pharmeasy.in/dam/products_otc/I00330/wanish-tube-of-50gm-cream-1-1741262253.jpg?dim=700x0&dpr=1&q=100
Genwash Lotion 100ml,₹223.85,https://cdn01.pharmeasy.in/dam/products_otc/264389/genwash-lotion-100ml-1-1671741001.jpg?dim=700x0&dpr=1&q=100
I-Activ Menstrual Cup For Women | Large Size | Pack Of 1,₹335,https://cdn01.pharmeasy.in/dam/products_otc/M82097/i-activ-menstrual-cup-for-women-large-size-pack-of-1-2-1690014885.jpg?dim=700x0&dpr=1&q=100
Vwash Plus Intimate Wash Bottle Of 100 Ml,₹185,https://cdn01.pharmeasy.in/dam/products_otc/224994/vwash-plus-intimate-wash-bottle-of-100-ml-1-1675663805.jpg?dim=700x0&dpr=1&q=100
"Wonderize Dry Comfort Xl Sanitary Napkins For Women, 80 Sanitary Pads (Combo Of 10) Size - 275 Mm",₹600,https://cdn01.pharmeasy.in/dam/products_otc/F74089/wonderize-dry-comfort-xl-sanitary-napkins-for-women-80-sanitary-pads-combo-of-10-size-275-mm-2-1672046828.jpg?dim=700x0&dpr=1&q=100
Pee Safe Ultra Thin Sanitary Pads For Women | Cottony Soft Sanitary Napkins For Ultra Comfort | 12n,₹199,https://cdn01.pharmeasy.in/dam/products_otc/X74221/pee-safe-ultra-thin-sanitary-pads-for-women-cottony-soft-sanitary-napkins-for-ultra-comfort-12n-2-1711943720.jpg?dim=700x0&dpr=1&q=100
Pregnacream During And After Pregnancy Prevents & Reduces Stretch Marks 100gm,₹450,https://cdn01.pharmeasy.in/dam/products_otc/I09112/pregnacream-during-and-after-pregnancy-prevents-reduces-stretch-marks-100gm-2-1740843727.jpg?dim=700x0&dpr=1&q=100
Skore Chocolate Lubes-50 Ml,₹300,https://cdn01.pharmeasy.in/dam/products_otc/H31526/skore-chocolate-lubes-50-ml-2-1654251637.jpg?dim=700x0&dpr=1&q=100
Vigini Vaginal Intimate Lightening Whitening Feminine Hygiene Gel Wash & Sexual Lubricant Lube Women,₹975,https://cdn01.pharmeasy.in/dam/products_otc/D35953/vigini-vaginal-intimate-lightening-whitening-feminine-hygiene-wash-sensual-lubricant-lube-gel-women-2-1670994461.jpg?dim=700x0&dpr=1&q=100
Peesafe Toilet Seat Sanitizer Spray (75ml - 2 Packs) - Lavender|Kills 99.9% Germs & Travel Friendly,₹360,https://cdn01.pharmeasy.in/dam/products_otc/G58448/peesafe-toilet-seat-sanitizer-spray-75ml-2-packs-lavenderkills-999-germs-travel-friendly-2-1721024463.jpg?dim=700x0&dpr=1&q=100
Sirona Cottony Soft Rash Free Sanitary Pads For Women - Pack Of 30 (Xl Size),₹399,https://cdn01.pharmeasy.in/dam/products_otc/M08504/sirona-cottony-soft-rash-free-sanitary-pads-for-women-pack-of-30-xl-size-2-1677244918.jpg?dim=700x0&dpr=1&q=100
Kamasutra Strawberry Water Based Lubricant Bottle Of 50 Ml,₹299,https://cdn01.pharmeasy.in/dam/products_otc/I38548/kamasutra-strawberry-water-based-lubricant-bottle-of-50-ml-2-1669710898.jpg?dim=700x0&dpr=1&q=100
Heyday Reusable Large Menstrual Cup (1 Cup | Heavy Flow),₹499,https://cdn01.pharmeasy.in/dam/products_otc/R23840/heyday-reusable-large-menstrual-cup-1-cup-heavy-flow-2-1671742547.jpg?dim=700x0&dpr=1&q=100
New Whisper Ultra Bindazzz Nights Xl + (317mm) 44 Sanitary Pads,₹649,https://cdn01.pharmeasy.in/dam/products_otc/M84946/new-whisper-ultra-bindazzz-nights-xl-317mm-44-sanitary-pads-2-1701332618.jpg?dim=700x0&dpr=1&q=100
Nua Ultra Safe Sanitary Pads|Super Saver Pack| Heavy Flow Xl30 Pads X Pack Of 2 (Pack Of 60),₹898,https://cdn01.pharmeasy.in/dam/products_otc/T93754/nua-ultra-safe-sanitary-padssuper-saver-pack-heavy-flow-xl30-pads-x-pack-of-2-pack-of-60-2-1704788750.jpg?dim=700x0&dpr=1&q=100
